epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5996887683868408,0.9233763813972473,0.001,0.7723292708396912,0.6328842043876648
1,0.7654153108596802,0.5991332530975342,0.001,0.821366012096405,0.4577195346355438
2,0.8152110576629639,0.484146386384964,0.001,0.8003502488136292,0.4780265986919403
3,0.8395254015922546,0.4127143323421478,0.001,0.8563923239707947,0.34525346755981445
4,0.8681190609931946,0.3504745066165924,0.001,0.8528896570205688,0.3518329858779907
5,0.8852363228797913,0.30739519000053406,0.001,0.889667272567749,0.2985125780105591
6,0.8937949538230896,0.28690263628959656,0.001,0.8949211835861206,0.265827476978302
7,0.911690354347229,0.24050109088420868,0.001,0.8791593909263611,0.2987014651298523
8,0.9214160442352295,0.2199145406484604,0.001,0.8966724872589111,0.2681580185890198
9,0.9295856952667236,0.20124754309654236,0.001,0.8931698799133301,0.27380552887916565
10,0.9354211091995239,0.18045727908611298,0.001,0.914185643196106,0.23453648388385773
11,0.942618191242218,0.16064174473285675,0.001,0.928196132183075,0.24662184715270996
12,0.9455358982086182,0.15413902699947357,0.001,0.9387040138244629,0.1751820296049118
13,0.9494261741638184,0.14188265800476074,0.001,0.9159369468688965,0.22367776930332184
14,0.9486480951309204,0.1363700032234192,0.001,0.928196132183075,0.20756374299526215
15,0.9575958251953125,0.12188860774040222,0.001,0.9264448285102844,0.21686282753944397
16,0.9579848051071167,0.11734466254711151,0.001,0.9316987991333008,0.20023642480373383
17,0.9628477096557617,0.10065717250108719,0.001,0.9316987991333008,0.20689032971858978
18,0.9649873375892639,0.09301374107599258,0.001,0.9404553174972534,0.2196459323167801
19,0.9634312391281128,0.09833074361085892,0.001,0.9544658660888672,0.16174015402793884
20,0.9725733995437622,0.07651560753583908,0.001,0.9439579844474792,0.22033697366714478
21,0.973546028137207,0.07388380169868469,0.001,0.9457092881202698,0.18454639613628387
22,0.9696556925773621,0.08751998841762543,0.001,0.9422066807746887,0.20762476325035095
23,0.9716008305549622,0.08148793876171112,0.001,0.9422066807746887,0.17040012776851654
24,0.9710173010826111,0.08747872710227966,0.001,0.9544658660888672,0.17911340296268463
25,0.9749075770378113,0.07076293975114822,0.001,0.9614710807800293,0.16214647889137268
26,0.9787979125976562,0.06465096026659012,0.001,0.9562171697616577,0.1804255247116089
27,0.9784088730812073,0.05888009071350098,0.001,0.9562171697616577,0.25572651624679565
28,0.9786033630371094,0.05901527404785156,0.001,0.9579684734344482,0.16055963933467865
29,0.9733514785766602,0.0720825046300888,0.001,0.9562171697616577,0.17545495927333832
30,0.9797704815864563,0.059595126658678055,0.001,0.9614710807800293,0.1712735891342163
31,0.9815211296081543,0.05242377892136574,0.001,0.9422066807746887,0.1953297108411789
32,0.9787979125976562,0.058495547622442245,0.001,0.9439579844474792,0.2187960296869278
33,0.9787979125976562,0.05664324760437012,0.001,0.9667250514030457,0.13300855457782745
34,0.9817156195640564,0.049757640808820724,0.001,0.9649737477302551,0.11822346597909927
35,0.9863839745521545,0.044348783791065216,0.001,0.9527145624160767,0.2214207649230957
36,0.9787979125976562,0.05943010002374649,0.001,0.9579684734344482,0.16115599870681763
37,0.9817156195640564,0.046318523585796356,0.001,0.9667250514030457,0.13958901166915894
38,0.9834662675857544,0.047720327973365784,0.001,0.9632224440574646,0.14821605384349823
39,0.9782143831253052,0.06420895457267761,0.001,0.9632224440574646,0.1345124989748001
40,0.9904688000679016,0.0327286422252655,0.001,0.9684763550758362,0.18251779675483704
41,0.9863839745521545,0.03632305562496185,0.001,0.9649737477302551,0.13540798425674438
42,0.9883291125297546,0.03559061512351036,0.001,0.9579684734344482,0.17098073661327362
43,0.9873565435409546,0.0377807691693306,0.001,0.9614710807800293,0.19422660768032074
44,0.9817156195640564,0.053067538887262344,0.001,0.9614710807800293,0.15181893110275269
