epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7329313158988953,0.7316694855690002,0.001,0.8458844423294067,0.41327860951423645
1,0.8159891366958618,0.48955148458480835,0.001,0.8633975386619568,0.37451377511024475
2,0.8408870100975037,0.42862001061439514,0.001,0.8774080276489258,0.3163892328739166
3,0.8403034210205078,0.4100463092327118,0.001,0.8861646056175232,0.31558552384376526
4,0.8513907790184021,0.38539886474609375,0.001,0.900175154209137,0.27939578890800476
5,0.8673409819602966,0.351791113615036,0.001,0.9159369468688965,0.26158207654953003
6,0.8712312579154968,0.33859580755233765,0.001,0.889667272567749,0.29322803020477295
7,0.8788173794746399,0.3195785582065582,0.001,0.9106830358505249,0.2398737519979477
8,0.8815405368804932,0.3139877915382385,0.001,0.9159369468688965,0.25058361887931824
9,0.8871814608573914,0.2878292500972748,0.001,0.9106830358505249,0.252721905708313
10,0.8862088918685913,0.28398096561431885,0.001,0.9159369468688965,0.2594652771949768
11,0.8924334049224854,0.2859935462474823,0.001,0.9124343395233154,0.23778265714645386
12,0.8924334049224854,0.2809862792491913,0.001,0.9106830358505249,0.2452547550201416
13,0.8984633088111877,0.24993781745433807,0.001,0.9211909174919128,0.2310055047273636
14,0.8974907398223877,0.2561616599559784,0.001,0.9159369468688965,0.24482694268226624
15,0.9048823118209839,0.2459680289030075,0.001,0.9299474358558655,0.22528164088726044
16,0.9023536443710327,0.24858129024505615,0.001,0.900175154209137,0.2563585042953491
17,0.8957401514053345,0.2619061768054962,0.001,0.917688250541687,0.24955011904239655
18,0.8986578583717346,0.26192548871040344,0.001,0.9246935248374939,0.2515382766723633
19,0.9015755653381348,0.2606469392776489,0.001,0.9299474358558655,0.21981728076934814
20,0.9159696698188782,0.23359908163547516,0.001,0.9264448285102844,0.22756098210811615
21,0.9138299822807312,0.21931558847427368,0.001,0.9334501028060913,0.23209607601165771
22,0.9148025512695312,0.2259528785943985,0.001,0.9334501028060913,0.2197968065738678
23,0.9128574132919312,0.22592833638191223,0.001,0.9211909174919128,0.23795758187770844
24,0.9122738838195801,0.22906652092933655,0.001,0.9264448285102844,0.22116190195083618
25,0.9352266192436218,0.1801912933588028,0.0003,0.928196132183075,0.19789065420627594
26,0.9393114447593689,0.1556771844625473,0.0003,0.9457092881202698,0.20821857452392578
27,0.9424236416816711,0.1481744945049286,0.0003,0.9387040138244629,0.19965100288391113
28,0.9393114447593689,0.1552988588809967,0.0003,0.9457092881202698,0.18202327191829681
29,0.9383388161659241,0.15844835340976715,0.0003,0.9369527101516724,0.17542962729930878
30,0.941645622253418,0.15395238995552063,0.0003,0.9387040138244629,0.1727554053068161
31,0.9486480951309204,0.14178860187530518,0.0003,0.9492118954658508,0.1857457309961319
32,0.943979799747467,0.13916300237178802,0.0003,0.9352014064788818,0.1900748312473297
33,0.9443687796592712,0.13985511660575867,0.0003,0.9352014064788818,0.19221410155296326
34,0.9482591152191162,0.1317983716726303,0.0003,0.9457092881202698,0.18314899504184723
35,0.9523438811302185,0.12139002233743668,0.0003,0.9422066807746887,0.18504808843135834
